scheme_name,summary,eligibility_criteria,application_process,documents_required,scheme_link
PM Kisan Samman Nidhi,Financial assistance of Rs. 6000 per year to farmers in three installments.,All small and marginal farmers with landholding up to 2 hectares.,Apply online on PM-KISAN portal or through Common Service Centers.,"Aadhaar card, land records, bank account details.",https://pmkisan.gov.in/
PM Awas Yojana,Housing scheme to provide affordable houses to urban and rural poor.,Economically Weaker Section (EWS) with annual income below Rs. 3 lakhs.,Apply through local municipal corporation or gram panchayat.,"Aadhaar card, income certificate, property documents.",https://pmaymis.gov.in/
Ayushman Bharat,Health insurance scheme providing coverage up to Rs. 5 lakhs per family per year.,All families not covered under any health insurance scheme.,Register at Ayushman Bharat centers or empaneled hospitals with Aadhaar.,"Aadhaar card, ration card, income certificate.",https://pmjay.gov.in/
PM Ujjwala Yojana,Provides LPG connections to women from BPL households.,Women from Below Poverty Line (BPL) households without LPG connection.,Apply through local LPG distributor or online through Ujjwala portal.,"Aadhaar card, BPL certificate, bank account details.",https://pmuy.gov.in/
Sukanya Samriddhi Yojana,"Savings scheme for the girl child, offering high interest rates and tax benefits.",Parents of girl child below 10 years of age.,Open account at any authorized bank or post office with required documents.,"Birth certificate of girl child, Aadhaar cards of parents.",https://www.indiapost.gov.in/Financial/Pages/Content/Sukanya-Samriddhi-Account.aspx
National Pension Scheme,Voluntary pension scheme to provide retirement income.,All Indian citizens between 18-65 years.,Apply online on NPS website or through banks and post offices.,"Aadhaar card, PAN card, bank account details.",https://www.npscra.nsdl.co.in/
Atal Pension Yojana,Pension scheme for unorganized sector workers with guaranteed pension.,Unorganized sector workers between 18-40 years.,Apply through banks or post offices with required documents.,"Aadhaar card, bank account details, age proof.",https://www.pfrda.org.in/index1.jsp?lin=1
PM Mudra Yojana,"Provides loans up to Rs. 10 lakhs to non-corporate, non-farm small businesses.","Small business owners, entrepreneurs, and startups.",Apply through participating banks with project proposal and KYC documents.,"Aadhaar card, PAN card, business plan, bank account details.",https://www.mudra.org.in/
Startup India,Initiative to promote entrepreneurship and startups in India.,Newly formed companies with innovative business models.,Register on Startup India portal and apply for recognition certificate.,"Company registration documents, business plan, ID proof.",https://www.startupindia.gov.in/
National Rural Livelihood Mission,Poverty alleviation program focused on promoting self-employment.,"Rural poor, especially women Self-Help Groups (SHGs).",Join or form a Self-Help Group in your village and contact local NRLM coordinator.,"Aadhaar card, BPL certificate, bank account details.",https://nrlm.gov.in/
